unit_id,time_id,area_id,strata,indicator,weight,sex,age,car_access
202100213,2021,W02000015,W06000002,0.0,1.17244336653182,1,55.0,1
202100214,2021,W02000013,W06000002,0.0,0.539670586556845,1,76.0,1
202100215,2021,W02000020,W06000002,0.0,1.9872956541289,2,22.0,1
202100216,2021,W02000023,W06000002,0.0,0.299302040146858,2,61.0,1
202100217,2021,W02000024,W06000002,0.0,0.655377353560496,2,50.0,1
202100218,2021,W02000011,W06000002,1.0,0.897906120440574,2,62.0,1
202100219,2021,W02000026,W06000002,0.0,0.593064071221208,1,64.0,1
202100220,2021,W02000014,W06000002,0.0,0.299302040146858,2,63.0,1
202100221,2021,W02000022,W06000002,0.0,0.980765629476458,2,34.0,1
202100222,2021,W02000023,W06000002,0.0,0.758424786741251,2,78.0,1
202100223,2021,W02000024,W06000002,0.0,1.33427340624829,1,31.0,1
202100224,2021,W02000023,W06000002,0.0,2.46030134265537,1,49.0,1
202100225,2021,W02000023,W06000002,0.0,0.346702322808072,1,65.0,1
202100226,2021,W02000023,W06000002,0.0,0.539670586556845,1,82.0,0
202100227,2021,W02000023,W06000002,0.0,0.540448732973558,2,55.0,1
202100228,2021,W02000022,W06000002,0.0,0.270224366486779,2,58.0,1
202100229,2021,W02000013,W06000002,0.0,1.01099061289707,1,53.0,1
202100230,2021,W02000026,W06000002,0.0,0.674063930969844,2,68.0,1
202100231,2021,W02000026,W06000002,0.0,0.897906120440574,2,62.0,1
202100232,2021,W02000017,W06000002,0.0,0.593064071221208,1,62.0,1
202100233,2021,W02000021,W06000002,0.0,0.523050936503143,1,41.0,1
202100234,2021,W02000018,W06000002,0.0,0.296532035610604,1,61.0,0
202100235,2021,W02000016,W06000002,0.0,1.01109589645477,2,66.0,1
202100236,2021,W02000011,W06000002,0.0,0.379212393370625,2,82.0,0
202100237,2021,W02000025,W06000002,0.0,0.539670586556845,1,82.0,1
202100238,2021,W02000014,W06000002,0.0,0.299302040146858,2,60.0,1
