"area_id","pop_density","age_adult_mean","female_adult_share","caraccess_adult_share"
"W02000132","45.0","54.809024979854954","0.5166580355601588","0.9345762126704643"
"W02000133","44.9","55.65111141792075","0.517910447761194","0.9467164179104478"
"W02000134","175.1","53.89361997226075","0.5225068750904617","0.9361702127659575"
"W02000135","809.5","51.639277578913116","0.5210240759579519","0.8255340793489319"
"W02000136","116.9","57.69016133298069","0.5160233584959407","0.92850021364478"
"W02000137","1183.3","50.42638436482085","0.5183804844994071","0.8333050991021514"
"W02000138","1532.8","50.21209487147647","0.5107290589451913","0.8403567735263702"
"W02000139","97.9","56.69641040546432","0.5174311926605505","0.9435779816513762"
"W02000140","72.8","51.685191347753744","0.5216188170183328","0.860774818401937"
"W02000141","215.8","57.10451710451711","0.528961522548614","0.8276789408357468"
"W02000142","34.7","54.14154035231463","0.504424778761062","0.9253183682279301"
"W02000143","13.7","55.63150492264416","0.5068285280728376","0.9319314979406026"
"W02000144","32.8","55.581607169090645","0.5102230483271375","0.9385068153655515"
"W02000145","22.1","55.63891960195862","0.5127811860940695","0.9320040899795501"
"W02000146","25.0","55.04005548812207","0.5082437275985663","0.9603942652329749"
"W02000147","66.0","49.38462629414268","0.5273273273273273","0.9016516516516516"
"W02000148","942.4","49.854520422212026","0.5246328754144955","0.8211747986736144"
"W02000149","216.9","54.516620498614955","0.5224971878515186","0.8061492313460817"
"W02000151","124.5","52.17164775451494","0.5104512276045122","0.8855341738553417"
"W02000152","250.5","54.263355704697986","0.5235353389952497","0.9090254786238664"
"W02000153","59.8","54.714285714285715","0.5109248316613989","0.9437955201319225"
"W02000154","549.1","52.540212670360944","0.5182033096926714","0.8655634357762018"
"W02000156","184.7","51.60196353436185","0.5160349854227405","0.9272594752186589"
"W02000157","189.8","52.28283774291735","0.5156517485937883","0.9370261677671803"
"W02000158","224.1","51.24084507042254","0.5161624533775383","0.935764608371322"
"W02000159","196.3","52.9017617770969","0.5260230433055224","0.8839888756456099"
"W02000160","342.5","54.05243161094225","0.5244565217391305","0.9229539641943734"
"W02000161","1082.6","51.46815795480484","0.5238912031364862","0.8637588826268071"
"W02000162","198.1","55.04912858515164","0.5241171403962102","0.8847258110824002"
"W02000163","3350.1","51.33088725817211","0.5203021718602455","0.8413597733711048"
"W02000164","502.5","52.28512014787431","0.5146074751101681","0.8803655949077852"
"W02000165","2818.1","50.042010640249494","0.5206086286594761","0.8152927580893683"
"W02000166","919.1","48.83149096791588","0.5177601337233598","0.8817384036773924"
