area_id,msoa_name,time_id,shallow_mrp_estimate,shallow_mrp_variance,shallow_mrp_lower,shallow_mrp_upper,shallow_mrp_ci_width
W02000037,Conwy 011,2023,0.13838177591010314,6.237267198901076e-4,0.09833300088240475,0.18935389791300572,0.09102089703060097
W02000037,Conwy 011,2025,0.13587639183962086,5.819647070978302e-4,0.09445284060273963,0.18914728104653872,0.09469444044379909
W02000038,Conwy 012,2021,0.11800860358793738,6.085535558788619e-4,0.07693317600528199,0.17736071004270765,0.10042753403742566
W02000038,Conwy 012,2023,0.1395193097922008,7.479486030518341e-4,0.08987220106139929,0.20383076848174642,0.11395856742034713
W02000038,Conwy 012,2025,0.1363319733396607,7.035766543349145e-4,0.09017826013278661,0.1967760363862203,0.10659777625343368
W02000039,Conwy 013,2021,0.11665657658595277,6.844545118699313e-4,0.0712156793823211,0.17215691288521096,0.10094123350288986
W02000039,Conwy 013,2023,0.13840371877257193,8.485505388040074e-4,0.0890888428954956,0.20323024606518852,0.11414140316969293
W02000039,Conwy 013,2025,0.13603776989151062,8.414965596469967e-4,0.08570362334370799,0.19528761269644618,0.10958398935273819
W02000040,Conwy 014,2021,0.11737252071416485,3.8085289227856374e-4,0.08031477731763947,0.16377552652302274,0.08346074920538327
W02000040,Conwy 014,2023,0.1393893840636872,4.712269258616591e-4,0.1014134660351936,0.1874203875135738,0.08600692147838018
W02000040,Conwy 014,2025,0.13726207023109707,4.3880783856223835e-4,0.09906652385806744,0.18659662123186013,0.08753009737379269
W02000041,Conwy 015,2021,0.11952457366351431,4.4750545133884803e-4,0.07644384853250064,0.1653210813526253,0.08887723282012466
W02000041,Conwy 015,2023,0.14255493405646502,5.498325349993729e-4,0.09655563768245418,0.18392324820221365,0.08736761051975947
W02000041,Conwy 015,2025,0.13900241877768205,5.165205161009408e-4,0.09393753895764378,0.18481112106296677,0.09087358210532298
W02000042,Denbighshire 001,2021,0.13309629057521044,8.404526622529342e-4,0.08542211990408,0.2029261719812056,0.11750405207712561
W02000042,Denbighshire 001,2023,0.15698933658494288,0.0010540459157727558,0.10327538503380575,0.23635591142312926,0.1330805263893235
W02000042,Denbighshire 001,2025,0.1544266707704105,9.984049597842161e-4,0.10177109080570486,0.23144664967401124,0.1296755588683064
W02000043,Denbighshire 002,2021,0.12018557553194784,5.74025789908829e-4,0.07735723921172669,0.17491552124015547,0.09755828202842878
W02000043,Denbighshire 002,2023,0.14181634133481397,7.066578809806645e-4,0.09395307319947116,0.19763670782744136,0.1036836346279702
W02000043,Denbighshire 002,2025,0.13875224110858447,6.921926589452753e-4,0.09115691520895419,0.19398536097787028,0.10282844576891609
W02000044,Denbighshire 003,2021,0.11808467435928985,5.340089239812417e-4,0.07987211403243132,0.16953045502534841,0.0896583409929171
W02000044,Denbighshire 003,2023,0.1402059687344972,6.485433283996041e-4,0.0941226721431139,0.19138207056154038,0.09725939841842648
W02000044,Denbighshire 003,2025,0.13680742852396743,6.175746034973508e-4,0.09560171852704755,0.18520202192748725,0.0896003034004397
W02000045,Denbighshire 004,2021,0.15331094615936303,9.477894015196069e-4,0.10319888665287005,0.21716581365886517,0.11396692700599512
W02000045,Denbighshire 004,2023,0.18205307769523807,0.0011417637893409752,0.11868375702408418,0.2528410326631302,0.134157275639046
W02000045,Denbighshire 004,2025,0.18015071847500147,0.001127104525729323,0.12119341271663038,0.2513455015412892,0.13015208882465884
W02000047,Denbighshire 006,2021,0.15630087738973902,0.0011013635037216787,0.10601366271266655,0.23532139148925996,0.1293077287765934
W02000047,Denbighshire 006,2023,0.1845199035415183,0.0014009963013493587,0.1251059057478831,0.2760177348295403,0.15091182908165718
W02000047,Denbighshire 006,2025,0.18216477041285772,0.0013013866354307732,0.1242106954102257,0.27290079862757755,0.14869010321735185
W02000049,Denbighshire 008,2021,0.1214642009599522,4.337857137479522e-4,0.08930112076558044,0.16609953047779516,0.07679840971221472
W02000049,Denbighshire 008,2023,0.14433176070968376,5.244951581429613e-4,0.10314247793777274,0.1927182427142014,0.08957576477642866
W02000049,Denbighshire 008,2025,0.1432117525983634,5.043358158351284e-4,0.10560273842555945,0.19443434400180687,0.08883160557624742
W02000050,Denbighshire 009,2021,0.12076320331258215,4.335080576585295e-4,0.08537241835167625,0.1705401390709048,0.08516772071922854
W02000050,Denbighshire 009,2023,0.14366944978119767,5.039816801689674e-4,0.101531025012196,0.19590253635517818,0.09437151134298218
W02000050,Denbighshire 009,2025,0.14109393186028538,4.897473892529991e-4,0.10263091322330994,0.19615424926177533,0.09352333603846538
W02000051,Denbighshire 010,2021,0.11630696155153102,3.743049924340846e-4,0.07915794435901763,0.15486941641651314,0.07571147205749551
W02000051,Denbighshire 010,2023,0.13860262958361286,4.694379670275732e-4,0.09769228521381781,0.18312535847426942,0.0854330732604516
