area_id,time_id,fh_estimate,fh_variance,fh_lower,fh_upper,fh_ci_width
W02000157,2021,0.050999396574232185,9.745145278038152e-5,0.03206858028511964,0.06956978881884257,0.03750120853372293
W02000158,2021,0.05265491687486925,1.1021202671961802e-4,0.033351356382224306,0.07496899863385764,0.041617642251633336
W02000159,2021,0.050426341537558844,1.0798795093263547e-4,0.03126182038368071,0.0725639484177999,0.04130212803411919
W02000160,2021,0.047671109632429536,1.0790493043167347e-4,0.027357264510146723,0.06828120184584888,0.040923937335702154
W02000161,2021,0.051895364385312254,1.2424779148169365e-4,0.028750104952824762,0.07400076822020192,0.04525066326737716
W02000162,2021,0.04541571072658221,1.4298066551146472e-4,0.022214749678641586,0.0680815932694919,0.04586684359085031
W02000163,2021,0.05330223253564902,1.2780951750779359e-4,0.033499464500313866,0.0772446325645308,0.04374516806421694
W02000164,2021,0.05090713380905407,1.2314051396756408e-4,0.02855179273154483,0.07331000357741796,0.04475821084587313
W02000165,2021,0.05490253564538496,1.1293411357698114e-4,0.03355960265998714,0.07577144397033594,0.0422118413103488
W02000166,2021,0.057005611042995896,1.1168663510074122e-4,0.037723280958649213,0.07853251845633923,0.04080923749769001
W02000167,2021,0.05738397902069483,1.3143158937406948e-4,0.03363937491421752,0.07899360183450055,0.04535422692028303
W02000168,2021,0.052603009067342506,1.1232987272394593e-4,0.030358104116748854,0.07183488661726824,0.04147678250051938
W02000169,2021,0.05146119739167519,1.0727020546400659e-4,0.03154078631993211,0.07439033109835522,0.04284954477842311
W02000170,2021,0.051286669764612436,1.078857618473366e-4,0.02990789645286708,0.07222848655255848,0.0423205900996914
W02000171,2021,0.05540713482722729,1.224922874108327e-4,0.0318707322220394,0.07942163522577345,0.047550903003734046
W02000172,2021,0.05480300629202401,1.4494419402597027e-4,0.02964691277199464,0.0791886820182764,0.049541769246281765
W02000173,2021,0.05934931615500716,1.3701419794750187e-4,0.037839406983357,0.08338059608637693,0.045541189103019936
W02000174,2021,0.05148771129535935,1.1467139088307892e-4,0.03042390126729464,0.072251243275136,0.04182734200784136
W02000175,2021,0.05559511724378213,1.506467213724868e-4,0.03130461495146109,0.08094600760960544,0.049641392658144344
W02000176,2021,0.05012522170099782,1.1675601275704869e-4,0.031803639843333745,0.07397331741468072,0.04216967757134697
W02000177,2021,0.05618483974509559,1.351128483475105e-4,0.032388879256931416,0.07650128946474322,0.0441124102078118
W02000178,2021,0.06422433239735836,1.612906228831598e-4,0.039648728649391174,0.08912018947180136,0.04947146082241019
W02000179,2021,0.04904192446469506,1.1357821991734127e-4,0.02671142518927591,0.07113831994210279,0.04442689475282688
W02000180,2021,0.058448331589936106,1.3598128864077645e-4,0.03136428701804632,0.08209373430324089,0.05072944728519457
W02000181,2021,0.05729186929059631,1.3764298799582013e-4,0.036672728162437274,0.07934160351641764,0.04266887535398037
W02000182,2021,0.056199191307200365,1.1701590005856131e-4,0.034925005509813235,0.07968294719288263,0.044757941683069395
W02000183,2021,0.06444733491561798,1.5862709993893777e-4,0.037262456650920345,0.0881464884907282,0.05088403183980786
W02000184,2021,0.05177005168536281,1.0504065515996257e-4,0.03221770287848574,0.0708779120826743,0.038660209204188556
W02000185,2021,0.04626740360952151,1.3946222038914023e-4,0.022358359808040698,0.06883370261045525,0.046475342802414554
