cell_id,domain_id,age_group,sex,car_access,pop_count
W02000010_age_16_24_sex_male_car_access,W02000010,age_16_24,sex_male,car_access,343.8982858573226
W02000010_age_25_44_sex_female_no_car_access,W02000010,age_25_44,sex_female,no_car_access,82.49769534996634
W02000010_age_25_44_sex_female_car_access,W02000010,age_25_44,sex_female,car_access,131.2969101330871
W02000010_age_25_44_sex_male_no_car_access,W02000010,age_25_44,sex_male,no_car_access,77.28594795937718
W02000010_age_25_44_sex_male_car_access,W02000010,age_25_44,sex_male,car_access,123.00229867908584
W02000010_age_45_64_sex_female_no_car_access,W02000010,age_45_64,sex_female,no_car_access,48.516263121972905
W02000010_age_45_64_sex_female_car_access,W02000010,age_45_64,sex_female,car_access,77.21470778179118
W02000010_age_45_64_sex_male_no_car_access,W02000010,age_45_64,sex_male,no_car_access,45.451274377082086
W02000010_age_45_64_sex_male_car_access,W02000010,age_45_64,sex_male,car_access,72.33671028028864
W02000010_age_65_plus_sex_female_no_car_access,W02000010,age_65_plus,sex_female,no_car_access,37.59007989822282
W02000010_age_65_plus_sex_female_car_access,W02000010,age_65_plus,sex_female,car_access,59.82544507886714
W02000010_age_65_plus_sex_male_no_car_access,W02000010,age_65_plus,sex_male,no_car_access,35.2153468830698
W02000010_age_65_plus_sex_male_car_access,W02000010,age_65_plus,sex_male,car_access,56.04600486592612
W02000011_age_16_24_sex_female_no_car_access,W02000011,age_16_24,sex_female,no_car_access,64.17293342665681
W02000011_age_16_24_sex_female_car_access,W02000011,age_16_24,sex_female,car_access,217.82174679320477
W02000011_age_16_24_sex_male_no_car_access,W02000011,age_16_24,sex_male,no_car_access,62.137372803395834
W02000011_age_16_24_sex_male_car_access,W02000011,age_16_24,sex_male,car_access,210.91245736249923
W02000011_age_25_44_sex_female_no_car_access,W02000011,age_25_44,sex_female,no_car_access,111.67222577052549
W02000011_age_25_44_sex_female_car_access,W02000011,age_25_44,sex_female,car_access,379.04826827686793
W02000011_age_25_44_sex_male_no_car_access,W02000011,age_25_44,sex_male,no_car_access,108.12999116549237
W02000011_age_25_44_sex_male_car_access,W02000011,age_25_44,sex_male,car_access,367.02488570699546
W02000011_age_45_64_sex_female_no_car_access,W02000011,age_45_64,sex_female,no_car_access,102.61493925641837
W02000011_age_45_64_sex_female_car_access,W02000011,age_45_64,sex_female,car_access,348.3051829235368
W02000011_age_45_64_sex_male_no_car_access,W02000011,age_45_64,sex_male,no_car_access,99.36000109861372
W02000011_age_45_64_sex_male_car_access,W02000011,age_45_64,sex_male,car_access,337.25696870956176
W02000011_age_65_plus_sex_female_no_car_access,W02000011,age_65_plus,sex_female,no_car_access,68.39280555254763
W02000011_age_65_plus_sex_female_car_access,W02000011,age_65_plus,sex_female,car_access,232.1452297419159
W02000011_age_65_plus_sex_male_no_car_access,W02000011,age_65_plus,sex_male,no_car_access,66.22339090273702
W02000011_age_65_plus_sex_male_car_access,W02000011,age_65_plus,sex_male,car_access,224.78160050903085
