area_id,msoa_name,time_id,n,direct_estimate,variance,direct_ci_width,mrp_estimate,mrp_variance,mrp_lower,mrp_upper,mrp_ci_width
W02000023,Gwynedd 014,2021,13,0,0,0,0.10157506978545845,8.32785279305533e-4,0.056224662046570464,0.16455112700370106,0.1083264649571306
W02000023,Gwynedd 014,2023,5,0,0,0,0.12370813764594803,0.0012245743821354745,0.06779492608885498,0.20196008157580508,0.1341651554869501
W02000023,Gwynedd 014,2025,10,0,0,0,0.12033901109913712,0.001133381961119672,0.06614474081935418,0.19598949747000122,0.12984475665064704
W02000024,Gwynedd 015,2021,6,0,0,0,0.12070175689261799,3.370946566454705e-4,0.08761878969580651,0.1654821918111629,0.07786340211535638
W02000024,Gwynedd 015,2023,5,0,0,0,0.1464131134916192,5.378039811141124e-4,0.10020432223905615,0.193831475874347,0.09362715363529084
W02000024,Gwynedd 015,2025,10,0.24696837873901048,0.03909264874130525,0.7750427093562885,0.14250278399280691,4.476770305503553e-4,0.09926186815772792,0.18806624976868255,0.08880438161095464
W02000025,Gwynedd 016,2021,12,0,0,0,0.12968389707336375,4.777949263943608e-4,0.0921313713567833,0.17305271672530637,0.08092134536852306
W02000025,Gwynedd 016,2023,1,0,0,0,0.15668526470016336,7.151236037162528e-4,0.10950714351325656,0.21344867403118573,0.10394153051792916
W02000025,Gwynedd 016,2025,13,0.1295171940947774,0.00643094104387587,0.31435136518463436,0.15252002048162835,5.895177350745542e-4,0.10986252922161403,0.20427394450597305,0.09441141528435902
W02000026,Gwynedd 017,2021,11,0,0,0,0.11993777854041286,5.199948741505259e-4,0.07962738846066814,0.16478115359835682,0.08515376513768869
W02000026,Gwynedd 017,2023,5,0.41717904425518626,0.05333459473588196,0.905279292586106,0.145205360050691,7.10766294734826e-4,0.0965377373624221,0.2026602163199241,0.10612247895750199
W02000026,Gwynedd 017,2025,14,0.12023827388684268,0.01243963655426867,0.4372017912480434,0.14135135669546425,6.315685098732755e-4,0.09604261670025133,0.1958964850780997,0.09985386837784838
W02000027,Conwy 001,2021,6,0,0,0,0.140610613734334,0.001134539570660179,0.08842030715842622,0.22338737101513118,0.13496706385670496
W02000027,Conwy 001,2023,6,0.07201612177035013,0.00542375678925592,0.28868763991128404,0.16933058043356888,0.0016904874224940507,0.10499365859923396,0.26766917157955783,0.16267551298032387
W02000027,Conwy 001,2025,14,0.16868629532345147,0.01002640738727874,0.3925100309430812,0.1648437860461784,0.001452989486886424,0.10512177987187077,0.2561731820368258,0.15105140216495505
W02000028,Conwy 002,2021,11,0.08536254482339001,0.00687076517368526,0.32492313848891236,0.13078633904307838,7.791837084515898e-4,0.08253616665263644,0.19719992087603283,0.11466375422339639
W02000028,Conwy 002,2023,0,NA,NA,NA,0.15784576831928357,0.0011262214775259866,0.10217368027378299,0.22963020277161877,0.1274565224978358
W02000028,Conwy 002,2025,20,0.12411815960295478,0.00498526882402063,0.2767721438119484,0.1536714358129206,9.723063711793899e-4,0.10375722420436109,0.22525138719894364,0.12149416299458254
W02000029,Conwy 003,2021,13,0.04888062877624214,0.00236765824355765,0.19073816234937035,0.10767477064054802,4.3828328140998085e-4,0.07212734782888412,0.15494709120375674,0.08281974337487262
W02000029,Conwy 003,2023,4,0.11725684052952652,0.01497783895008014,0.47973639240616867,0.1310507472124502,6.46133609317599e-4,0.08617823342159275,0.19413549577918265,0.1079572623575899
W02000029,Conwy 003,2025,16,0.05964954227518533,0.00348514269847698,0.23141332857415206,0.12740484202492683,5.422309561024683e-4,0.08682143118033676,0.18477925092462597,0.0979578197442892
